window_end,window_start,observations,pc1_explained_variance_ratio,pc2_explained_variance_ratio,pc3_explained_variance_ratio,pc1_pc3_cumulative_explained_variance_ratio,pc1_abs_cosine_similarity_to_previous_window
2013-05-13,2010-05-12,756,0.5384892871000214,0.0889077628755379,0.06474757406782852,0.6921446240433878,0.9998857574754033
2013-06-12,2010-06-11,756,0.5288369383480095,0.09183643792900657,0.06705060393175725,0.6877239802087732,0.9998997117931447
2013-07-12,2010-07-13,756,0.5230241746771135,0.09587133822667084,0.06802984249885388,0.6869253554026382,0.9998117606379986
2013-08-12,2010-08-11,756,0.51712567301025,0.09646822705484971,0.06899598939153574,0.6825898894566355,0.9999401875612338
2013-09-11,2010-09-10,756,0.5081873747377711,0.09780915784828613,0.0722070616368186,0.6782035942228758,0.999909650714805
2013-10-10,2010-10-11,756,0.5070957663213997,0.09906830385230038,0.07225235404386125,0.6784164242175613,0.9999869618762802
2013-11-08,2010-11-09,756,0.5062427943243784,0.09860810211790806,0.07267637535015911,0.6775272717924455,0.999961690244907
2013-12-10,2010-12-09,756,0.5026927634912335,0.09712911927447106,0.07438116424305095,0.6742030470087556,0.9999854114554031
2014-01-10,2011-01-10,756,0.5041938329511386,0.09680829605823038,0.07322741430469992,0.6742295433140689,0.9999818936777982
2014-02-11,2011-02-09,756,0.5072321579584355,0.09728616725665502,0.07170068689080264,0.6762190121058932,0.9999483621683536
2014-03-13,2011-03-11,756,0.5084530669986964,0.09756442815067669,0.0712566387665819,0.677274133915955,0.9999703885398417
2014-04-11,2011-04-11,756,0.5066252480146046,0.09921525371061515,0.07083706086993315,0.6766775625951529,0.9999796269842979
2014-05-13,2011-05-11,756,0.5069043027316297,0.09981247970585914,0.06903001041122073,0.6757467928487095,0.9999682121719605
2014-06-12,2011-06-10,756,0.5059012093157013,0.10089600319791216,0.06838663830704783,0.6751838508206612,0.9999870104749201
2014-07-14,2011-07-12,756,0.5020869398922296,0.1024843777104264,0.06872828331234339,0.6732996009149994,0.9999363872929702
2014-08-12,2011-08-10,756,0.48745127336353333,0.1044449276570919,0.06791230709335931,0.6598085081139845,0.9996107890367478
2014-09-11,2011-09-09,756,0.46890605445054817,0.10656004639389174,0.06877241408475765,0.6442385149291976,0.9984986418089115
2014-10-10,2011-10-10,756,0.45580040579406483,0.10954684451929095,0.07133008343883994,0.6366773337521957,0.9997957715171424
2014-11-10,2011-11-08,756,0.43434430405368996,0.11456481608861126,0.07457995972268636,0.6234890798649876,0.9994245139278247
2014-12-10,2011-12-08,756,0.4104094614091019,0.11633408523434441,0.08178364460262241,0.6085271912460687,0.9997112177009648
2015-01-12,2012-01-10,756,0.4044866145213661,0.11818767863939736,0.08218606561523534,0.6048603587759988,0.9994418080384464
2015-02-11,2012-02-09,756,0.40714318524907783,0.1186229703819728,0.08348714806234074,0.6092533036933914,0.9997443935396227
2015-03-13,2012-03-12,756,0.4037350561436114,0.12269111464480263,0.08324345812162072,0.6096696289100347,0.9998863021721439
2015-04-14,2012-04-11,756,0.3984935792457812,0.12510318223467293,0.08412715849063822,0.6077239199710924,0.9997367629455725
2015-05-13,2012-05-10,756,0.3941981575412217,0.12607162143489356,0.08637202927305221,0.6066418082491675,0.9998178142829445
2015-06-12,2012-06-11,756,0.3911937621372673,0.12907300756451232,0.0876973962192083,0.607964165920988,0.9995912469534796
2015-07-14,2012-07-11,756,0.3864866464971549,0.128551749145554,0.08927645340302195,0.6043148490457309,0.9995947202067893
2015-08-12,2012-08-09,756,0.37936473837159723,0.12832500588024856,0.09110208994482258,0.5987918341966684,0.9998066037055473
2015-09-11,2012-09-10,756,0.40369721693575195,0.126874326935498,0.08832591762143048,0.6188974614926804,0.9994313843462631
2015-10-12,2012-10-09,756,0.40672428491396045,0.12706513200219166,0.08715376867825839,0.6209431855944105,0.999937052347163
2015-11-10,2012-11-09,756,0.39943993723371674,0.12973192226858066,0.0869912754437141,0.6161631349460115,0.9998730309721676
2015-12-10,2012-12-11,756,0.3990112773039541,0.1299487363862353,0.0877878872277203,0.6167479009179098,0.9999106263077047
2016-01-12,2013-01-11,756,0.4019712336448149,0.12852020875596673,0.08735470541591801,0.6178461478166997,0.999876971911419
2016-02-11,2013-02-12,756,0.4102184871789197,0.12764932078893354,0.08613326477117429,0.6240010727390275,0.9996937813633936
2016-03-14,2013-03-14,756,0.41219713379052614,0.12754199458405321,0.08579303725958382,0.6255321656341633,0.9998675239484093
2016-04-13,2013-04-15,756,0.41205153015296364,0.12852705929460662,0.08624705134997965,0.62682564079755,0.9999786427579623
2016-05-12,2013-05-14,756,0.4084927605129604,0.12944378090302658,0.08759126084372802,0.625527802259715,0.9997508969260654
2016-06-13,2013-06-13,756,0.40552890165250505,0.1308353473811607,0.08718951915427435,0.6235537681879401,0.9998433928856075
2016-07-13,2013-07-15,756,0.4137727989521595,0.12527897218652354,0.08829009903370595,0.6273418701723891,0.998595447372503
2016-08-11,2013-08-13,756,0.41512091410941737,0.12568920253128613,0.08851004138792454,0.6293201580286281,0.9999505790634255
2016-09-12,2013-09-12,756,0.41719205726216907,0.12743210985840617,0.08755733706487936,0.6321815041854546,0.9999142897680235
2016-10-11,2013-10-11,756,0.4182839012881825,0.12723147306660929,0.08820169879665467,0.6337170731514464,0.9999856834406762
2016-11-09,2013-11-11,756,0.4191972715240681,0.12641448346070494,0.08883100393474472,0.6344427589195177,0.9999069510769407
2016-12-09,2013-12-11,756,0.41155320557669106,0.12880891105174883,0.09076308000989124,0.6311251966383311,0.9997442387681552
2017-01-11,2014-01-13,756,0.41005110515180176,0.12911361984043104,0.09090195698869427,0.6300666819809271,0.999988946637306
2017-02-10,2014-02-12,756,0.4054700137768587,0.13142491523875713,0.09088133462885858,0.6277762636444745,0.9999423993189354
2017-03-14,2014-03-14,756,0.4046553299644888,0.1325120572572589,0.09093866626003781,0.6281060534817855,0.9999852726993849
2017-04-12,2014-04-14,756,0.40400576280230033,0.13406231608454636,0.09052736340318494,0.6285954422900316,0.9999803821673385
2017-05-12,2014-05-14,756,0.4051670983325651,0.13510587514378997,0.09043154873618894,0.630704522212544,0.99997555516273
2017-06-13,2014-06-13,756,0.4039614811771618,0.13598938896464136,0.09064294955721376,0.630593819699017,0.9999863046602657
2017-07-13,2014-07-15,756,0.4025502456475163,0.13704793557541986,0.09214561823022441,0.6317437994531605,0.9999867012819361
2017-08-11,2014-08-13,756,0.4010534546477164,0.13738105890008487,0.0924434945215953,0.6308780080693965,0.9999734819248045
