asset,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,asset_class
XLE.US,0.22525720687279857,-0.012865692372366478,0.23636732246897546,-0.13517235750661782,-0.2385973204035583,0.0012288767941775552,0.007248858668836005,-0.006831566544906635,0.019010283061461627,-0.25373345743374337,0.13360781217609488,-0.19493030418993174,-0.01841416257655407,0.12197135506660695,-0.19372458468948117,0.09020436605847094,-0.020164847339369785,-0.014616338742252526,0.0016740847239777531,-0.03796666379319735,-0.06583691447099142,-0.03097627968493584,0.0008787247059051546,-0.3962689453563154,0.46839628243655435,-0.3506859942113261,-0.3508861269146004,-0.004165954833481999,-0.0809168403270576,us_sector_etf
XLV.US,0.22497951094058635,0.050152380682004456,-0.14285644985267626,-0.19333018723017076,0.10285322365669083,-0.044141963072369915,0.0651750880778415,-0.281349112764026,0.045470248411899276,-0.08644225317100766,-0.10574070898800872,0.18386778122366526,-0.03752339853753065,-0.12279072913096632,-0.17359892483860404,-0.012935505215030303,0.49840336704985505,0.017925479532433865,-0.182692302766077,-0.057620862716783815,0.5721295615892521,0.21630439278579805,0.02918415670105944,-0.11646320610087967,0.02160657590241191,-0.005776132206023242,0.0727962463706574,0.009979684956314105,-0.10943525666709433,us_sector_etf
XLP.US,0.21317839900709667,0.0586030642254518,-0.1539810484693864,-0.3147042506669663,0.14157892703473066,-0.06300278722617567,0.1196408983926849,0.10760267044553642,-0.05853602741762996,0.10082856478910465,0.028438521767524403,-0.005407927199705926,0.10550451746663159,0.04764463174751486,0.14836912838009594,-0.06471283975355842,0.16487909301775946,0.2070644983834469,0.7771777832672045,0.11997057356788352,-0.0008350269696907104,-0.1303245160699253,0.10746740404494114,-0.018957671300172587,0.03643749831323016,-0.054052118958434654,0.024746474854648464,0.01822582333591492,-0.04342237349842754,us_sector_etf
XLU.US,0.1871646425965799,0.1241100937277654,-0.07765840603648248,-0.3081622974708655,0.08675097794998539,-0.041023882975742436,0.0027652499157290013,-0.09198201085773744,0.14468784041693913,0.0596748908618794,0.37438594022112237,-0.2627850255316682,0.17396474897254682,0.13071376376493807,0.5409739526934296,-0.3324313118504795,-0.11939476445565181,-0.05517104667728148,-0.34361415701364284,0.03986739859110646,0.06328654729151438,0.007535529635755858,-0.030891648773504594,-0.02643840323418262,-0.04914243698783292,-0.003936510283883333,-0.002175482159473138,-0.009909824421550894,-0.03816833551280089,us_sector_etf
SPY.US,0.2759300233640179,0.028772711372626474,-0.07588452740360271,0.040946470061311725,-0.010697689817346657,-0.008057288071510411,-0.008200771774648036,-0.038859241399351284,-0.06821230799066186,-0.024930685512176993,0.055064903137435325,0.008016288451253626,0.0011656771662272032,-0.006341247032640261,0.0074861453766728175,0.02109434561121205,0.13794795840592067,0.01054179372143312,-0.03491073407594137,-0.01598188050341251,-0.036730351742843864,0.03778343762567249,-0.038289424026994666,0.253453329478381,0.17992853808703402,0.04564378154903466,-0.14877509349242607,-0.01931437821910478,0.8711306132005364,broad_equity_etf
IWM.US,0.25172152998205777,0.013836760008636404,-0.04133079381156614,0.052368400536638944,-0.05971770749418981,0.09178404761520911,-0.12191295313296846,-0.01949664543888491,-0.13681991924274683,-0.0659739391811339,0.08803015916347208,0.054759621876161076,0.0787291283352019,0.05465652924914329,-0.08911327877719638,-0.042582735119387115,0.45818189107890667,-0.17259486680832753,-0.1597763196276969,-0.1351189365146448,-0.3827851043947309,-0.5500384711229183,0.08183731384685373,-0.09659822784935086,-0.251056550314528,-0.03536396049202717,0.18606727838684886,0.03290295477511886,-0.05844899271018211,broad_equity_etf
EFA.US,0.25866554673554243,0.05425750610311815,0.016405810834491753,0.014793786762455668,0.017134069673916924,0.09947845770108116,-0.12192083074168124,0.010580698663857944,0.13395650326198993,0.030917255260022165,-0.026206857834740062,0.0427564261711569,-0.014209552970157264,0.050876074414639705,-0.008962739373148107,0.03116137221099099,0.1234747021778124,0.24297718935455817,0.03747160427442631,-0.13309042634172763,-0.4048282029689829,0.5749255006933998,-0.18234547429687875,-0.12096846677898636,-0.42969186680670185,-0.031148452326170292,-0.23204255680932254,-0.02613934168653815,-0.05827009353393046,intl_equity_etf
EEM.US,0.24755522946225905,0.03786756986495464,0.04379610632857439,0.08912117678881214,0.03514932710453673,0.09608233629895342,-0.19204933091823398,0.18907494175963466,0.3463017787842355,-0.012511196676459557,-0.16668782194380724,0.003404066911981866,0.0014052733258568377,0.038519715788567915,0.0594539960794433,-0.008797896622161733,-0.023642320865116934,0.03823670317724748,0.001987022325285536,-0.06130740554843538,-0.134694791060132,0.15510414731217445,-0.0984818636643334,-0.07020649280954637,0.42625365553714734,0.06548895456129177,0.6635431535698789,0.049285158893649754,-0.005976638334819186,intl_equity_etf
FXI.US,0.20953456135037557,0.013147448409103337,0.027933403447506507,0.11397717012641993,0.02464327713957561,0.128897042202486,-0.23862903847454262,0.31886557229377727,0.5364687029216764,-0.014312835444324283,-0.32040396664230025,0.02149556300489343,0.007681792123504984,0.035113447413866634,0.06799317132244626,0.0020380091857042067,-0.043104877909324615,-0.04899817750015294,-0.010926873784302427,0.10631976225606732,0.28869824590609866,-0.2952882781710442,0.11698952604508346,0.0738173657958331,-0.18577044303500626,-0.048614795007694535,-0.35634720342484427,-0.006625407571820114,0.0024973863114550743,intl_equity_etf
SHY.US,-0.08192462766259107,0.4118895262617638,-0.04573752296067971,-0.03990159312372853,-0.09663426035228469,0.02386244940925275,0.037991742443357186,-0.061819225882647044,-0.12351222998214977,-0.08435559705740668,-0.23682716396180453,0.32818654268026665,0.32422631417082076,0.640711290578266,0.04029752026339706,0.1313976993841734,-0.06705546246638507,-0.05404983108557748,-0.04817605002588177,0.05116893946078021,0.01730710875800072,0.03387529779433162,0.009773211158761166,-0.0026283864598364327,0.030354144533269078,0.014170827805410647,0.00868593933418446,-0.2625652075037615,0.00682243472477708,fixed_income_etf
IEF.US,-0.10594773713702399,0.4770334980116069,-0.08367890843410328,-0.006681489724562119,-0.1634233304631517,0.009205272987117714,-0.010022115312240761,0.08279990635196799,-0.046473181918177765,-0.1299933010149679,-0.07016706007239021,-0.023607498462315978,-0.005409177977044571,-0.08034979713174495,0.05840577177347376,-0.012140478862674822,0.03407230836132332,-0.22841927802863451,0.055256479844906455,0.04867176968217969,-0.0179778770314348,0.10566602792834318,-0.010575483607892323,-0.02101690641240653,-0.022480313500000702,0.016307098857288562,-0.055322633820382605,0.7815006019975252,0.02146540889165095,fixed_income_etf
TLT.US,-0.1094833672376788,0.43142491273052364,-0.10015271848586346,0.022378540496978752,-0.16478806308596278,0.0004731840443202202,-0.03035607301601187,0.1684215024833153,0.010652541427321941,-0.16502178487105104,0.0008692870615706992,-0.16729876006487565,-0.1407443597874989,-0.39629283973548646,0.06697708868312212,-0.08813783458145004,0.13751061062541325,-0.3426553066137586,0.12331922728568394,0.09450717873000683,-0.043860760071185015,0.10795645627916971,-0.04078385604468592,-0.040015104796320915,-0.02027899948857837,-0.03864749018994702,0.0270941775341075,-0.5572364699355742,0.00316992959887388,fixed_income_etf
