date,window_start,window_end,observations,n_assets,n_components,pc1_explained_variance_ratio,pc2_explained_variance_ratio,pc3_explained_variance_ratio,pc4_explained_variance_ratio,pc5_explained_variance_ratio,pc1_pc5_cumulative_explained_variance_ratio,reconstruction_rmse,reconstruction_mae
2014-08-08,2009-08-21,2014-08-08,260,29,5,0.4912530222825352,0.10185646108840343,0.07670816252410305,0.04243142191753366,0.03318123038964117,0.7454302982022165,0.4034916245227373,0.31003302454110754
2014-08-15,2009-08-28,2014-08-15,260,29,5,0.49057974641535984,0.1019234308631874,0.07712153604778468,0.04270259597220596,0.03317564492286921,0.7455029542214071,0.3246466344846887,0.25929102803179405
2014-08-22,2009-09-04,2014-08-22,260,29,5,0.4908096576595284,0.1020709605356899,0.0773179851726437,0.04239607457618315,0.03321108631562823,0.7458057642596733,0.3175851410300206,0.24614512068366257
2014-08-29,2009-09-11,2014-08-29,260,29,5,0.4915050010387029,0.1024577376540153,0.07781869718020114,0.042427805934362704,0.03312794762728615,0.7473371894345682,0.3235620394427845,0.2545657733249656
2014-09-05,2009-09-18,2014-09-05,260,29,5,0.49141073027436866,0.10234593560546086,0.07794396963474318,0.042243461188612504,0.03284999118057348,0.7467940878837588,0.519478693450929,0.3816447468441611
2014-09-12,2009-09-25,2014-09-12,260,29,5,0.4905653296729941,0.103809841508314,0.07786333142263659,0.042322768717694,0.032827631191966654,0.7473889025136053,0.47681898800871847,0.3871994488742081
2014-09-19,2009-10-02,2014-09-19,260,29,5,0.48916038165992437,0.10426571312495587,0.07836659284582058,0.0422031368725111,0.03281848100985039,0.7468143055130624,0.3552019756721407,0.26821713981606565
2014-09-26,2009-10-09,2014-09-26,260,29,5,0.4897111024827821,0.10424522520535116,0.07814038436011242,0.042221395824726914,0.03274293034227823,0.7470610382152508,0.32464235737455904,0.23277731138000363
2014-10-03,2009-10-16,2014-10-03,260,29,5,0.4856098567782234,0.1050209851103591,0.07916266186661884,0.04229624173453089,0.03309589479853367,0.7451856402882658,0.4199036117332327,0.2763844526937216
2014-10-10,2009-10-23,2014-10-10,260,29,5,0.4871363654224308,0.105256167929136,0.07926198637509536,0.04221199977130765,0.033069562793516256,0.746936082291486,0.6288088652545565,0.5035303499459137
